"","Overall","var","Variables","Resample"
"195",1.63985220394526,"summary_X166",482,"Fold1"
"196",1.62507139453825,"title_X256",482,"Fold1"
"197",1.62347804157524,"summary_X328",482,"Fold1"
"198",1.60882379689649,"summary_X2220",482,"Fold1"
"199",1.60109200307549,"summary_X235",482,"Fold1"
"200",1.5703347136304,"summary_X482",482,"Fold1"
"201",1.56527776044733,"summary_X478",482,"Fold1"
"202",1.54099884451681,"summary_X803",482,"Fold1"
"203",1.53095380825337,"title_X1753",482,"Fold1"
"204",1.52704712090318,"summary_X249",482,"Fold1"
"205",1.52555897007743,"title_X165",482,"Fold1"
"206",1.52520536417499,"summary_X220",482,"Fold1"
"207",1.50306157185524,"title_X798",482,"Fold1"
"208",1.50088101966553,"author_X16361637",482,"Fold1"
"209",1.49945584957339,"summary_X985",482,"Fold1"
"210",1.48304828020057,"title_X1711",482,"Fold1"
"211",1.44772075300997,"summary_X268",482,"Fold1"
"212",1.42521473930585,"title_X326",482,"Fold1"
"213",1.41323891003408,"title_X1241",482,"Fold1"
"214",1.40381050182958,"summary_X110",482,"Fold1"
"215",1.38888763899827,"author_X36883904",482,"Fold1"
"216",1.38554330629269,"summary_X391",482,"Fold1"
"217",1.37209536488744,"summary_X1182",482,"Fold1"
"218",1.36252722565867,"summary_X2636",482,"Fold1"
"219",1.35155404954806,"summary_X1296",482,"Fold1"
"220",1.35051046365578,"summary_X866",482,"Fold1"
"221",1.33057310549245,"summary_X1097",482,"Fold1"
"222",1.32012954684245,"title_X715",482,"Fold1"
"223",1.3200524888489,"summary_X807",482,"Fold1"
"224",1.31704288783219,"summary_X105",482,"Fold1"
"225",1.31265480590481,"title_X1487",482,"Fold1"
"226",1.31263948943293,"summary_X784",482,"Fold1"
"227",1.30678744756984,"summary_X261",482,"Fold1"
"228",1.3055960593547,"title_X210",482,"Fold1"
"229",1.29690637604739,"summary_X270",482,"Fold1"
"230",1.29009258243844,"title_X1486",482,"Fold1"
"231",1.26922717800504,"summary_X273",482,"Fold1"
"232",1.24845180313327,"summary_X234",482,"Fold1"
"233",1.24279264868801,"title_X1186",482,"Fold1"
"234",1.20782548822007,"title_X284",482,"Fold1"
"235",1.18388510448153,"summary_X388",482,"Fold1"
"236",1.17600103571569,"author_X574575",482,"Fold1"
"237",1.16268076749222,"summary_X121",482,"Fold1"
"238",1.15466491152791,"summary_X503",482,"Fold1"
"239",1.1495764969831,"summary_X459",482,"Fold1"
"240",1.14624112529612,"summary_X171",482,"Fold1"
"241",1.1460647312928,"summary_X514",482,"Fold1"
"242",1.13662437769861,"summary_X527",482,"Fold1"
"243",1.11183044407059,"summary_X584",482,"Fold1"
